Year,League,Team Name,Wins,Losses,Win Percentage,Playoffs Results,Coach(es) ,Top Player
2022-23,NBA,New Orleans Pelicans,12,8,.600,,W. Green (12-8),Z. Williamson
2021-22,NBA,New Orleans Pelicans,36,46,.439,Lost W. Conf. 1st Rnd.,W. Green (36-46),J. Valančiūnas
2020-21,NBA,New Orleans Pelicans,31,41,.431,,S. Van Gundy (31-41),Z. Williamson
2019-20,NBA,New Orleans Pelicans,30,42,.417,,A. Gentry (30-42),B. Ingram
2018-19,NBA,New Orleans Pelicans,33,49,.402,,A. Gentry (33-49),A. Davis
2017-18,NBA,New Orleans Pelicans,48,34,.585,Lost W. Conf. Semis,A. Gentry (48-34),A. Davis
2016-17,NBA,New Orleans Pelicans,34,48,.415,,A. Gentry (34-48),A. Davis
2015-16,NBA,New Orleans Pelicans,30,52,.366,,A. Gentry (30-52),A. Davis
2014-15,NBA,New Orleans Pelicans,45,37,.549,Lost W. Conf. 1st Rnd.,M. Williams (45-37),A. Davis
2013-14,NBA,New Orleans Pelicans,34,48,.415,,M. Williams (34-48),A. Davis
2012-13,NBA,New Orleans Hornets,27,55,.329,,M. Williams (27-55),R. Anderson
2011-12,NBA,New Orleans Hornets,21,45,.318,,M. Williams (21-45),J. Jack
2010-11,NBA,New Orleans Hornets,46,36,.561,Lost W. Conf. 1st Rnd.,M. Williams (46-36),C. Paul
2009-10,NBA,New Orleans Hornets,37,45,.451,,B. Scott (3-6)-J. Bower (34-39),D. West
2008-09,NBA,New Orleans Hornets,49,33,.598,Lost W. Conf. 1st Rnd.,B. Scott (49-33),C. Paul
2007-08,NBA,New Orleans Hornets,56,26,.683,Lost W. Conf. Semis,B. Scott (56-26),C. Paul
2006-07,NBA,New Orleans/Oklahoma City Hornets,39,43,.476,,B. Scott (39-43),C. Paul
2005-06,NBA,New Orleans/Oklahoma City Hornets,38,44,.463,,B. Scott (38-44),C. Paul
2004-05,NBA,New Orleans Hornets,18,64,.220,,B. Scott (18-64),P. Brown
2003-04,NBA,New Orleans Hornets,41,41,.500,Lost E. Conf. 1st Rnd.,T. Floyd (41-41),P. Brown
2002-03,NBA,New Orleans Hornets,47,35,.573,Lost E. Conf. 1st Rnd.,P. Silas (47-35),P. Brown
